2026-07-01 22:41:55,706 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:42:01,943 | ERROR    | StatisticsManager | FINNHUB failed after 1.7374s
2026-07-01 22:42:01,944 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:42:02,379 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:42:02,380 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:42:05,101 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:42:05,102 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:42:05,103 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : JPM
2026-07-01 22:42:05,105 | INFO     | SourceEngine | REQUEST : JPM
2026-07-01 22:42:05,306 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:42:05,307 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:42:08,301 | ERROR    | StatisticsManager | FINNHUB failed after 0.8886s
2026-07-01 22:42:08,302 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:42:08,522 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:42:08,523 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:42:11,159 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:42:11,160 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:42:11,160 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : JPM
2026-07-01 22:42:11,160 | INFO     | SourceEngine | REQUEST : JPM
2026-07-01 22:42:11,365 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:42:11,366 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:42:16,390 | WARNING  | HealthManager | Provider FINNHUB is unhealthy.
2026-07-01 22:42:16,391 | WARNING  | SourceEngine | FINNHUB OFFLINE
2026-07-01 22:42:16,773 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:42:16,774 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:42:19,923 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:42:19,924 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:42:19,925 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : JPM
2026-07-01 22:42:19,926 | INFO     | SourceEngine | REQUEST : GS
2026-07-01 22:42:20,119 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:42:20,120 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:42:21,470 | ERROR    | StatisticsManager | FINNHUB failed after 0.2193s
2026-07-01 22:42:21,471 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:42:21,698 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:42:21,699 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:42:24,157 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:42:24,158 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:42:24,158 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : GS
2026-07-01 22:42:24,159 | INFO     | SourceEngine | REQUEST : GS
2026-07-01 22:42:24,360 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:42:24,361 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:42:29,373 | WARNING  | HealthManager | Provider FINNHUB is unhealthy.
2026-07-01 22:42:29,374 | WARNING  | SourceEngine | FINNHUB OFFLINE
2026-07-01 22:42:29,584 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:42:29,585 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:42:30,362 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:42:30,363 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:42:30,364 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : GS
2026-07-01 22:42:30,366 | INFO     | SourceEngine | REQUEST : GS
2026-07-01 22:42:30,580 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:42:30,581 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:42:31,907 | ERROR    | StatisticsManager | FINNHUB failed after 0.2242s
2026-07-01 22:42:31,908 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:42:32,137 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:42:32,138 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:42:33,177 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:42:33,178 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:42:33,179 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : GS
2026-07-01 22:42:33,180 | INFO     | SourceEngine | REQUEST : V
2026-07-01 22:42:33,388 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:42:33,389 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:42:33,856 | ERROR    | StatisticsManager | FINNHUB failed after 0.2298s
2026-07-01 22:42:33,857 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:42:34,072 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:42:34,072 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:42:37,313 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:42:37,314 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:42:37,315 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : V
2026-07-01 22:42:37,317 | INFO     | SourceEngine | REQUEST : V
2026-07-01 22:42:37,532 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:42:37,532 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:42:38,005 | ERROR    | StatisticsManager | FINNHUB failed after 0.2352s
2026-07-01 22:42:38,006 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:42:38,217 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:42:38,218 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:42:38,988 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:42:38,989 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:42:38,990 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : V
2026-07-01 22:42:38,992 | INFO     | SourceEngine | REQUEST : V
2026-07-01 22:42:39,191 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:42:39,192 | WARNING  | SourceEngine | MASSIVE OFFLINE
